index,Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region,Selected_region
395,Castaño,2017,5610531,Monastrell 2017,3.3,318,6.28,España,Yecla,other
396,Familia Torres,2017,1152206,Coronas Crianza 2017,3.8,580,6.28,España,Cataluña,Catalunya Sul
397,Bodegas Franco-Españolas,2017,1100348,Rioja Bordón Crianza 2017,3.8,810,6.28,España,Rioja,Rioja
398,Guelbenzu,2017,51664,Azul 2017,3.8,140,6.29,España,Ribera del Queiles,other
399,Lagravera,2020,1945130,Laltre 2020,4.0,49,6.3,España,Costers del Segre,other
400,Castillo Perelada,2018,3343395,3 Finques (Fincas) Crianza 2018,3.7,102,6.3,España,Empordà,other
401,Gran Feudo,2016,1603756,Reserva 2016,3.6,428,6.33,España,Navarra,other
402,Vina Herminia,2016,1668285,Rioja Crianza 2016,3.7,268,6.33,España,Rioja,Rioja
403,Breca,2018,5748100,Garnacha de Fuego 2018,3.6,731,6.35,España,Calatayud,other
404,Fuentenarro,2019,2249224,4 Meses en Barrica 2019,3.6,64,6.35,España,Ribera del Duero,Ribera del Duero
405,Monteabellon,2020,2035736,A Cappela Roble 2020,3.3,29,6.35,España,Ribera del Duero,Ribera del Duero
406,Bodegas Lagunilla,2017,1129460,Crianza 2017,3.3,396,6.35,España,Rioja,Rioja
407,Berceo,2017,1141591,Crianza 2017,3.8,99,6.35,España,Rioja,Rioja
408,Viladellops,2020,1585724,Garnatxa 2020,3.8,49,6.35,España,Panadés,other
409,Bruno Murciano,2019,9213328,Parajes del Cabriel 2019,3.6,117,6.39,España,Utiel-Requena,other
410,Albet i Noya,2019,79861,Petit Albet Penedès Rouge 2019,3.3,134,6.39,España,Panadés,other
411,Contreras Ruiz,2019,5513724,Édalo Tinto 2019,3.7,32,6.4,España,Andalucía,other
412,Zuazo Gaston,2018,1162868,Crianza 2018,3.6,191,6.4,España,Rioja,Rioja
413,Solar Viejo,2015,1181896,Crianza 2015,3.6,864,6.4,España,Rioja,Rioja
414,Terra d'Uro,2020,5460810,La Enfermera 2020,3.9,63,6.4,España,Toro,other
415,Viña Zorzal,2020,1205173,Garnacha 2020,3.5,78,6.4,España,Navarra,other
416,Castaño,2020,85757,Monastrell Ecológico 2020,3.5,376,6.4,España,Yecla,other
417,Viña Salceda,2018,1111659,Rioja Crianza 2018,3.6,341,6.4,España,Rioja,Rioja
418,Bodegas Mano a Mano,2016,1192990,Mano a Mano 2016,3.7,990,6.41,España,Castilla,other
419,Bodegas Ochoa,2017,6202302,8A Crianza 2017,3.6,58,6.41,España,Navarra,other
420,Falset Marçà,2013,1296785,Ètim Negre 2013,3.3,147,6.41,España,Montsant,Catalunya Sul
421,Vega Real,2019,1139212,Ribera del Duero Roble 2019,3.7,32,6.44,España,Ribera del Duero,Ribera del Duero
422,Castillo de Monjardin,2019,1392332,Old Vines (La Cantera) Garnacha 2019,3.5,60,6.45,España,Navarra,other
423,Risky Grapes,2019,1810779,La Traca Bobal 2019,3.5,125,6.45,España,Valencia,other
424,Altos de Tamarón,2020,1131274,Roble Ribera del Duero 2020,3.4,299,6.45,España,Ribera del Duero,Ribera del Duero
425,Proyecto Garnachas de España,2018,1393134,La Garnacha Salvaje del Moncayo 2018,3.7,669,6.45,España,Aragón,other
